NCT Number	Title	Acronym	Status	Conditions	Interventions	Outcome Measures	Sponsors	Gender	Age	Enrollment	Funders	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	Last Verified	First Submitted	First Posted	Results First Submitted	Results First Posted	Last Update Submitted	Last Update Posted	URL	Setting	Stage	Sponsor_Type	Controlled	Multi-Arm	Pediatric	Country_PI	Cancer_Group	Cancer_Type	Drug_INN	Primary-EP	Phase	DrugBank	Removed
NCT02969681	Vitamin C Intravenously With Chemotherapy in Advanced Colorectal Cancer	Vitality	Recruiting	Colorectal Neoplasms	Drug: ascorbic acid; Drug: Chemotherapy	Progression Free Survival; Overall Survival; Response Rate	Sun Yat-sen University	All	18 Years to 75 Years   (Adult, Older Adult)	428	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	VitC001	01/01/2017	12/01/2019	12/01/2020			21/11/2016				27/02/2019	https://ClinicalTrials.gov/show/NCT02969681	Palliative	Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	China	GI	Colon Cancer	Ascorbic acid	PFS	Phase 3	DB00126	N
NCT02678975	Disulfiram in Recurrent Glioblastoma		Active, not recruiting	Glioma|Glioblastoma	Drug: Disulfiram; Dietary Supplement: Copper; Drug: Alkylating Agents	Survival 6 mo; Progression free survival; Survival 12 and 24 mo; Median overall survival; Health related quality of life; Volumetric tumor assessment; Number of participants with treatment-related adverse events as assessed by CTCAE v4.0	Sahlgrenska University Hospital, Sweden; St. Olavs Hospital; Lund University Hospital; Karolinska University Hospital; University Hospital, Linkoeping; Region  rebro County; Ryhov County Hospital; Uppsala University Hospital	All	18 Years and older   (Adult, Older Adult)	88	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	no ID yet	01/01/2017	15/01/2021	15/01/2021			02/10/2016				11/09/2020	https://ClinicalTrials.gov/show/NCT02678975		Recurrent/Refractory	Hospital/University/Research Institute	Y	N	N	Sweden	CNS	Glioblastoma	Disulfiram	OS	Phase 2/3	DB00822	N
NCT01844076	Quinacrine-Capecitabine Combinatorial Therapy for Advanced Stage Colorectal ADenocarcinoma		Active, not recruiting	Colorectal Adenocarcinoma	Drug: Phase I (Quinacrine); Drug: Capecitabine	Phase I - Tolerability and Safety; Phase II - Rate of Response	Fox Chase Cancer Center	All	18 Years and older   (Adult, Older Adult)	19	Other	Interventional Study	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GI-078	01/01/2016	04/01/2021	04/01/2021			05/01/2013				05/07/2020	https://ClinicalTrials.gov/show/NCT01844076		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	United States	GI	Colon Cancer; Rectal Cancer	Mepacrine	Safety and/or Dose; Response rate	Phase 1/2	DB01103	N
NCT01342692	Best Promising Drug Association With Azacitidine in Higher Risk Myelodysplastic Syndromes	AZA-PLUS	Active, not recruiting	MDS	Drug: Azacitidine; Drug: Azacitidine associated with Valproic acid; Drug: Azacitidine associated with Lenalidomide; Drug: Azacitidine associated with Idarubicine	Remission, complete, partial or medullary after 6 cycles; Stable disease with hematological improvement; Duration of response; Progression to acute myeloid leukemia; Overall survival; Number of adverse events	Assistance Publique - H pitaux de Paris	All	18 Years and older   (Adult, Older Adult)	320	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	P081225	06/01/2011	07/01/2018	06/01/2019			27/04/2011				19/02/2019	https://ClinicalTrials.gov/show/NCT01342692		Localised/Locoregional	Hospital/University/Research Institute	Y	Y	N	France	Other Haem-onc	Myelodysplastic Syndromes	Valproic Acid	Safety and/or Dose; Response rate; OS; Other (specify)	Phase 2	DB00313	N
NCT04054362	Paricalcitol Addition to Chemotherapy in Patients With Previously Untreated Metastatic Pancreatic Ductal Adenocarcinoma	PINBALL	Recruiting	Pancreatic Cancer	Drug: Paclitaxel protein bound; Drug: Cisplatin; Drug: Gemcitabine; Drug: Paricalcitol	Clinical benefit	Barts   The London NHS Trust	All	18 Years and older   (Adult, Older Adult)	14	Other	Interventional Study	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	12255	29/11/2018	30/06/2021	30/06/2021			13/08/2019				16/12/2019	https://ClinicalTrials.gov/show/NCT04054362		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United Kingdom	GI	Pancreatic Cancer	Paricalcitol	Other (specify)	Phase 2	DB00910	N
NCT01586260	Preventative Trial of DFMO in Patients With High Risk Neuroblastoma in Remission		Active, not recruiting	Neuroblastoma	Drug: DFMO	To evaluate the preventative activity of DFMO as a single agent in patients that are in remission based on: Event free survival (EFS); To evaluate the preventative activity of DFMO as a single agent in patients with neuroblastoma who are in remission based on: Overall Survival (OS); Number of Participants with Adverse Events as a Measure of Safety and Tolerability; Biology studies	Giselle SaulnierSholler; Cancer Prevention Pharmaceuticals, Inc.; University of Arizona; University of Hawaii; University of Vermont; Beat NB Cancer Foundation; Atrium Health	All	up to 21 Years   (Child, Adult)	89	Other; Industry	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	NMTRC 003	06/01/2012	26/04/2021	26/04/2021			26/04/2012				18/11/2020	https://ClinicalTrials.gov/show/NCT01586260		Localised/Locoregional	Hospital/University/Research Institute	N	N	Y	United States	Other	Neuroblastoma	Eflornithine	DFS/RFS/EFS	Phase 2	DB06243	N
NCT04096911	Combination of PD-1 Monoclonal Antibody and HPV Vaccine in Patients With Cervical Cancer		Recruiting	Uterine Cervical Neoplasms|Cervical Cancer|Cervical Neoplasms|Cervix Cancer	Drug: Sintilimab; Drug: quadrivalent HPV vaccine	Objective Response Rate; Progression-free survival; Overall survival; Duration of Response	Buhai Wang; Innovent Biologics (Suzhou) Co. Ltd.; Northern Jiangsu Province People's Hospital	Female	18 Years and older   (Adult, Older Adult)	20	Other; Industry	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	WBH-7209	31/07/2019	31/03/2021	31/03/2021			20/09/2019				20/09/2019	https://ClinicalTrials.gov/show/NCT04096911		Recurrent/Refractory	Company	N	N	N	China	Gynaecological	Cervical Cancer	HPV vaccine	Response rate; PFS; OS; Other (specify)	Phase 2	Not found in DrugBank	N
NCT03831178	Docosahexaenoic Acid (DHA) for Women With Breast Cancer in the Neoadjuvant Setting	DHA-WIN	Recruiting	Breast Cancer	Dietary Supplement: Docosahexaenoic acid (DHA); Drug: Placebo oral capsule	Percent change in Ki67 index from baseline to surgical excision.; Percent of DHA in plasma phospholipids between DHA and placebo arms.; Change in immune function (e.g. ability to produce IL-2 after stimulation) following DHA supplementation in combination with chemotherapy.; Age of participants and other factors affecting DHA incorporation; Percent change on markers of apoptosis (e.g. caspase-3) following DHA or placebo supplementation.; Pathological complete response rate; Comparison of rate of chemotherapy associated grade 3 and 4 toxicities between treatment arms.	AHS Cancer Control Alberta; Canadian Institutes of Health Research (CIHR); University of Alberta	Female	18 Years and older   (Adult, Older Adult)	52	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	IIT-0005	28/08/2019	03/01/2021	09/01/2021			02/05/2019				10/02/2019	https://ClinicalTrials.gov/show/NCT03831178		Localised/Locoregional	Collaborative Group	Y	N	N	Canada	Breast	Any Breast Cancer	Omega 3	Biomarker	Phase 2	DB13961	N
2020-000725-27	Intratumoral Influenza Vaccine for Early Colorectal Cancer		Ongoing	Patients with colorectal cancer	Drug: Influenza vaccine	Safety endpoints Safety evaluation will be performed via continuous assessment of safety parameters by reviewing events as they arise. We will conduct the pilot study in order to measure potential safety issues in a small cohort of patients before including patients in the phase 2 study. The investigation will be put on hold if unacceptable safety issues are detected. Primary safety endpoints: 1. Evaluation of serious adverse events 2. Evaluation of any adverse events reported.	Center for Surgical Science, Department of Surgery, Zealand University Hospital	All	Adult 18-64	30	Not applied yet	-													https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-000725-27/DK		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	Denmark	GI	Colon Cancer; Rectal Cancer	Influenza vaccine	Safety and/or Dose	Phase 2	Not found in DrugBank	N
NCT02607072	Aspirin for Prevention of Postsurgical Recurrence and Metastasis in Asian Colorectal Cancer Patients: a Multi-center Randomized Trial	APREMEC	Recruiting	Colorectal Cancer	Drug: Acetylsalicylic acid (ASA)/aspirin 200 mg daily; Drug: Acetylsalicylic acid (ASA)/aspirin 100 mg daily; Drug: Placebo	3-year disease free survival	The Fourth Affiliated Hospital of Anhui Medical University; The First Affiliated Hospital of Anhui Medical University; Anhui Provincial Hospital	All	18 Years and older   (Adult, Older Adult)	3000	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	APREMEC-01	10/01/2015	10/01/2020	10/01/2022			17/11/2015				18/11/2015	https://ClinicalTrials.gov/show/NCT02607072	Adjuvant/Maintenance	Localised/Locoregional	Hospital/University/Research Institute	Y	Y	N	China	GI	Colon Cancer; Rectal Cancer	Acetylsalicylic Acid	DFS/RFS/EFS	Phase 3	DB00945	N
NCT03491410	Breast Cancer Active Surveillance, Alternative Option, Aspirin Included		Not yet recruiting	Breast Cancer	Drug: Aspirin Low Dose; Drug: Placebo Oral Tablet	Overall Survival; Metastatic Disease Stability; Tumor response till patient decides to exit the active surveillance	Centro Hospitalar Lisboa Ocidental	All	18 Years and older   (Adult, Older Adult)	60	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	CHLOBREASTASP	06/01/2018	31/12/2019	31/05/2023			04/09/2018				04/09/2018	https://ClinicalTrials.gov/show/NCT03491410		Localised/Locoregional; Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	Portugal	Breast	Breast - Other	Acetylsalicylic Acid	Response rate; OS	Phase 2/3	DB00945	N
NCT02945033	Study on Aspirin Versus Placebo in Resected Colon Cancer With PI3K Mutation Stage III or II High Risk	ASPIK French	Recruiting	Colorectal Cancer	Drug: aspirin intake; Drug: placebo intake; Procedure: Surgical resection of colonic adenocarcinoma stage III or II high risk; Biological: Molecular analysis of exon 9 and 20 of PI3K; Biological: blood intake	Number of patient with local or distant recurrence or second colorectal cancer or death from any cause, whichever occurred first; Number of alive patient; Number of pills taken by the patient for compliance evaluation; Number of severe bleeding grade 3-4 events; Number of participants with treatment-related adverse events	University Hospital, Rouen; Federation Francophone de Cancerologie Digestive	All	18 Years and older   (Adult, Older Adult)	264	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	2015/222/HP	07/12/2018	07/01/2024	07/01/2024			26/10/2016				24/10/2019	https://ClinicalTrials.gov/show/NCT02945033	Primary/Main Curative	Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	France	GI	Colon Cancer; Rectal Cancer	Acetylsalicylic Acid	Safety and/or Dose; OS; Recurrence rate	Phase 3	DB00945	N
NCT03464305	ASPIRIN Trial Belgium	ASPIRIN	Recruiting	Colon Cancer	Drug: acetylsalicylic acid; Drug: Placebo	5 year overall survival; Disease Free Survival; Time to Treatment Failure	University Hospital, Antwerp; Kom Op Tegen Kanker; Anticancerfund	All	45 Years and older   (Adult, Older Adult)	400	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	BE 2017-001397-41	22/02/2018	31/12/2026	31/12/2026			14/03/2018				22/12/2020	https://ClinicalTrials.gov/show/NCT03464305	Adjuvant/Maintenance	Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	Belgium	GI	Colon Cancer	Acetylsalicylic Acid	OS; DFS/RFS/EFS	Phase 3	DB00945	N
